No,구분,발급일자,시험번호,시험명,업체명,해당팀,비고,접수일자,접수번호,작성자(PL),시작일,종료일,업체명,시료명
1,성적서,2024-08-02 0:00,GS-C-24-0041,GS,㈜알에스엔,영남소프트웨어시험센터,,2024-04-15 0:00,24-01514,이재훈,2024-08-02 0:00,2024-08-02 0:00,㈜알에스엔,루시마이닝엔진 v2.0
2,성적서,2024-08-05 0:00,GS-C-24-0046,GS,㈜왕별,영남소프트웨어시험센터,,2024-05-13 0:00,24-01910,이재훈,2024-08-05 0:00,2024-08-05 0:00,㈜왕별,WADI v1.0
3,성적서,2024-08-12 0:00,GS-C-24-0054,GS,㈜네트로,영남소프트웨어시험센터,,2024-07-01 0:00,24-02637,김민우,2024-08-12 0:00,2024-08-12 0:00,㈜네트로,제닉스 v1.0
4,성적서,2024-08-20 0:00,GS-C-23-0138,GS,㈜이엔아이씨티,영남소프트웨어시험센터,,2023-11-28 0:00,23-07336,김민우,2024-03-14 0:00,2024-08-20 0:00,㈜이엔아이씨티,스마트 수질오염 경보시스템 v1.0
5,성적서,2024-08-21 0:00,GS-C-24-0056,GS,㈜진명아이앤씨,영남소프트웨어시험센터,,2024-07-16 0:00,24-02799,이재훈,2024-08-21 0:00,2024-08-21 0:00,㈜진명아이앤씨,제이아이에스 v1.0
6,성적서,2024-08-23 0:00,GS-A-24-0222,GS,㈜에이텍,영남소프트웨어시험센터,,2024-07-24 0:00,24-02961,전지은,2024-08-23 0:00,2024-08-23 0:00,㈜에이텍,에이텍 지능형 리커버리 솔루션 V1.0
7,성적서,2024-08-30 0:00,GS-C-24-0051,GS,㈜에스엠전자,영남소프트웨어시험센터,,2024-06-21 0:00,24-02485,이진협,2024-07-16 0:00,2024-08-30 0:00,㈜에스엠전자,AC/DC 전력양 및 열량 에너지 미터링 시스템 v1.0
8,성적서,2024-09-09 0:00,GS-C-24-0062,GS,㈜에너피아,영남소프트웨어시험센터,,2024-08-14 0:00,24-03267,이재훈,2024-09-09 0:00,2024-09-09 0:00,㈜에너피아,절전형 스마트 IOT 자율제어 스노우멜팅 시스템 V1.0
9,성적서,2024-09-11 0:00,GS-C-24-0058,GS,㈜모티버,영남소프트웨어시험센터,,2024-07-30 0:00,24-03002,이재훈,2024-09-11 0:00,2024-09-11 0:00,㈜모티버,모티버솔루션 v1.0
10,성적서,2024-09-13 0:00,GS-C-24-0021,GS,㈜에코스,영남소프트웨어시험센터,,2024-03-12 0:00,24-01028,전지은,2024-09-13 0:00,2024-09-13 0:00,㈜에코스,에코스 태양광 모니터링 시스템 v1.0
